"time","I1"
1,0
2,5
3,6
4,5
5,6
6,10
7,11
8,28
9,33
10,43
11,60
12,68
13,61
14,58
15,65
16,72
17,68
18,68
19,76
20,67
21,55
22,71
23,48
24,57
25,40
26,62
27,43
28,30
29,34
30,39
31,27
32,44
33,42
34,29
35,33
36,32
37,18
38,14
39,32
40,11
41,31
42,17
43,19
44,19
45,25
46,17
47,21
48,18
49,25
50,12
51,9
52,9
53,16
54,6
55,14
56,15
57,10
58,11
59,14
60,12
61,8
62,10
63,6
64,1
65,1
66,0
